2025-08-23 13:07:40,111 INFO: Discovered station-like nodes: 0
2025-08-23 13:07:48,660 INFO: Discovered station-like nodes: 0
2025-08-23 13:10:14,251 INFO: Root tag after strip: meteorology
2025-08-23 13:10:14,355 INFO: Generic station-like nodes discovered: 1153
2025-08-23 13:10:14,363 INFO: Station parsed: name=33.261697, lat=None, lon=33.261697, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=PLATANIA, lat=34.9477833, lon=32.9258194, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=PLATANIA, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=34.9477833, lat=34.9477833, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=32.9258194, lat=None, lon=32.9258194, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=POLIS, lat=35.04195, lon=32.437228, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=POLIS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=35.041950, lat=35.04195, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=32.437228, lat=None, lon=32.437228, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=POLYSTYPOS, lat=34.944042, lon=33.018864, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=POLYSTYPOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=34.944042, lat=34.944042, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=33.018864, lat=None, lon=33.018864, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=PRODROMOS, lat=34.949912, lon=32.830595, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=PRODROMOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=34.949912, lat=34.949912, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=32.830595, lat=None, lon=32.830595, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=PYRGOS, lat=35.1415413, lon=32.6163214, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=PYRGOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=35.1415413, lat=35.1415413, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=32.6163214, lat=None, lon=32.6163214, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=SAITTAS, lat=34.8632083, lon=32.9113833, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=SAITTAS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=34.8632083, lat=34.8632083, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=32.9113833, lat=None, lon=32.9113833, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=TAMASOS, lat=35.0172889, lon=33.249175, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=TAMASOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=35.0172889, lat=35.0172889, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,364 INFO: Station parsed: name=33.2491750, lat=None, lon=33.249175, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=TEPAK, lat=34.67696, lon=33.037545, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=TEPAK, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=34.676960, lat=34.67696, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=33.037545, lat=None, lon=33.037545, temp=None, rh=None, wind_mps=None
